City,Lat,Lon,Max_temp,Humidity,Cloudiness,Winds,Country,Date
Port-Gentil,-0.72,8.78,299.72,83,100,4.92,GA,1607394793
Qaanaaq,77.48,-69.36,253.25,86,72,1.81,GL,1607394946
Udachny,66.42,112.4,245.15,75,0,1.0,RU,1607394780
Ilhéus,-14.79,-39.05,297.15,88,20,2.1,BR,1607394921
Sulangan,11.14,123.72,302.04,74,68,1.91,PH,1607394946
Longyearbyen,78.22,15.64,267.15,62,40,6.7,SJ,1607394946
Avarua,-21.21,-159.78,301.15,74,0,3.1,CK,1607394946
Thompson,55.74,-97.86,271.15,100,90,4.1,CA,1607394946
Airai,-8.93,125.41,297.27,68,100,1.41,TL,1607394946
Bethel,41.37,-73.41,271.15,68,1,3.6,US,1607394946
Bathsheba,13.22,-59.52,298.15,78,40,4.6,BB,1607394947
Hofn,64.25,-15.21,272.91,87,0,2.24,IS,1607394947
Santa Cruz de La Palma,28.68,-17.76,291.15,72,40,4.1,ES,1607394947
Coquimbo,-29.95,-71.34,286.15,87,29,2.6,CL,1607394947
Manaure,11.78,-72.44,300.39,81,100,5.11,CO,1607394947
Djibouti,11.5,42.5,300.15,74,75,1.5,DJ,1607394947
Goundam,16.41,-3.67,294.83,31,0,4.74,ML,1607394947
Iskateley,67.68,53.15,270.27,99,98,3.39,RU,1607394947
Okhotsk,59.38,143.3,253.49,88,97,7.58,RU,1607394947
Ashland,40.82,-82.27,272.59,86,90,4.1,US,1607394883
Córdoba,-31.41,-64.18,294.82,63,0,3.6,AR,1607394832
Fatehābād,29.52,75.45,293.16,31,9,0.95,IN,1607394948
Nanortalik,60.14,-45.24,272.92,90,100,4.13,GL,1607394948
Dingle,11.0,122.67,303.01,76,77,3.43,PH,1607394948
Constitución,-35.33,-72.42,284.1,88,27,3.01,CL,1607394948
Inyonga,-6.72,32.07,292.79,69,53,1.65,TZ,1607394948
Pangnirtung,66.15,-65.71,265.04,87,100,1.62,CA,1607394948
Timmins,48.47,-81.33,264.15,92,90,2.1,CA,1607394909
Naze,28.37,129.48,293.15,68,75,7.7,JP,1607394899
Chokurdakh,70.63,147.92,249.59,91,100,3.37,RU,1607394948
Cockburn Town,21.46,-71.14,298.15,73,40,2.1,TC,1607394948
Mandera,3.94,41.87,298.19,73,15,5.13,KE,1607394679
Ponta do Sol,32.67,-17.1,288.15,77,20,1.5,PT,1607394948
Talnakh,69.49,88.4,248.15,75,90,17.0,RU,1607394948
Krasnoural'sk,58.36,60.04,267.35,95,44,4.03,RU,1607394948
Castro,-24.79,-50.01,289.77,98,75,2.29,BR,1607394948
Cururupu,-1.83,-44.87,298.17,87,96,1.61,BR,1607394948
Mabaruma,8.2,-59.78,296.28,94,97,0.98,GY,1607394949
Estepa,37.29,-4.88,285.37,87,20,5.1,ES,1607394949
Hong Kong,22.29,114.16,293.15,60,7,4.4,HK,1607394915
San Rafael,-34.62,-68.33,298.89,32,0,6.61,AR,1607394836
Lukulu,-14.37,23.24,292.9,91,100,2.4,ZM,1607394949
Fortuna,40.6,-124.16,282.59,85,89,0.45,US,1607394949
Alofi,-19.06,-169.92,302.15,74,75,8.7,NU,1607394949
Pisco,-13.7,-76.22,292.59,88,0,3.6,PE,1607394868
Chapais,49.78,-74.85,258.15,92,1,3.1,CA,1607394949
Port Hardy,50.7,-127.42,282.15,93,90,6.7,CA,1607394949
Ilulissat,69.22,-51.1,270.15,68,100,5.7,GL,1607394949
Mpanda,-6.37,31.04,290.66,92,0,1.15,TZ,1607394949
San Patricio,28.02,-97.52,285.93,66,20,2.6,US,1607394949
Sioux Lookout,50.1,-91.92,270.15,92,90,5.1,CA,1607394845
Bluff,-46.6,168.33,289.82,68,4,9.39,NZ,1607394950
Sakakah,29.97,40.21,283.15,57,0,2.1,SA,1607394950
Saskylakh,71.92,114.08,246.31,87,99,1.22,RU,1607394950
Ambon City,-3.7,128.18,307.15,56,40,1.5,ID,1607394950
Anuradhapura,8.36,80.42,299.42,84,4,2.39,LK,1607394950
Alindao,5.03,21.21,294.14,40,96,0.98,CF,1607394950
Cherskiy,68.75,161.3,247.91,89,100,2.38,RU,1607394950
Turan,16.07,108.22,296.15,83,75,1.0,VN,1607394950
Caçapava do Sul,-30.51,-53.49,286.53,100,51,2.84,BR,1607394950
Hermanus,-34.42,19.23,289.82,95,98,0.89,ZA,1607394950
Torbay,47.67,-52.73,277.59,93,75,6.2,CA,1607394915
Caravelas,-17.71,-39.25,297.15,81,0,3.75,BR,1607394950
Arraial do Cabo,-22.97,-42.03,296.81,92,100,9.06,BR,1607394950
Macklin,52.33,-109.93,279.15,60,84,5.7,CA,1607394951
Mahébourg,-20.41,57.7,296.15,88,20,2.1,MU,1607394951
Werda,-25.27,23.28,296.2,60,39,6.18,BW,1607394951
Port Hedland,-20.32,118.57,307.15,46,75,9.8,AU,1607394951
Chālūs,36.66,51.42,282.15,81,75,2.1,IR,1607394951
Guerrero Negro,27.98,-114.06,289.23,41,0,3.01,MX,1607394951
Severnoye,56.35,78.36,262.56,96,100,3.47,RU,1607394951
Najrān,17.49,44.13,285.15,62,77,0.57,SA,1607394951
Camacha,33.08,-16.33,289.15,93,75,5.1,PT,1607394951
Hobyo,5.35,48.53,299.25,70,96,5.83,SO,1607394865
Longyan,25.11,117.02,292.04,61,83,1.79,CN,1607394951
Lüderitz,-26.65,15.16,289.52,90,80,1.4,NA,1607394952
Flinders,-34.58,150.86,295.37,50,34,3.13,AU,1607394952
Charagua,-19.8,-63.22,293.6,60,73,1.92,BO,1607394952
Leeton,-34.57,146.4,293.15,29,0,5.7,AU,1607394952
Río Gallegos,-51.62,-69.22,287.15,71,40,4.1,AR,1607394952
Bambous Virieux,-20.34,57.76,299.26,88,20,2.1,MU,1607394952
Tegul'det,57.31,88.17,259.52,94,100,5.73,RU,1607394952
Pangkalanbuun,-2.68,111.62,305.7,56,28,2.51,ID,1607394952
Letlhakane,-21.42,25.58,292.89,78,100,6.68,BW,1607394952
Mount Gambier,-37.83,140.77,287.15,67,90,4.6,AU,1607394952
Parit Buntar,5.13,100.49,302.15,70,20,4.1,MY,1607394953
Nagato,34.38,131.2,285.37,50,75,7.7,JP,1607394953
Bossangoa,6.49,17.46,294.3,33,45,1.29,CF,1607394953
Mareeba,-17.0,145.43,305.93,62,88,4.1,AU,1607394953
Norman Wells,65.28,-126.83,249.15,83,40,2.6,CA,1607394953
Laguna,38.42,-121.42,291.15,29,1,3.1,US,1607394953
Kiryat Gat,31.61,34.76,289.82,55,0,3.27,IL,1607394953
Kédougou,12.56,-12.17,295.93,32,0,0.53,SN,1607394953
Egvekinot,66.32,-179.17,258.9,82,0,1.88,RU,1607394953
Grand-Santi,4.25,-54.38,295.54,96,88,1.21,GF,1607394953
Severo-Kuril'sk,50.68,156.12,270.4,89,68,3.88,RU,1607394953
Herat Province,34.5,62.0,273.15,91,90,1.0,AF,1607394715
Tasiilaq,65.61,-37.64,263.15,61,0,1.5,GL,1607394954
Nikolskoye,59.7,30.79,268.15,67,0,5.0,RU,1607394954
Labuhan,-6.88,112.21,302.49,76,99,7.11,ID,1607394954
Berdigestyakh,62.1,126.7,249.12,89,81,0.75,RU,1607394954
Rocha,-34.48,-54.33,285.8,93,0,1.79,UY,1607394954
Shubarshi,48.59,57.19,258.63,90,0,0.7,KZ,1607394954
East London,-33.02,27.91,294.94,86,25,9.23,ZA,1607394954
Zharkent,44.16,80.0,265.49,90,70,1.38,KZ,1607394954
Ankang,32.68,109.02,281.24,59,62,1.84,CN,1607394954
Codrington,-38.27,141.97,288.59,60,40,7.2,AU,1607394954
Xichang,27.9,102.26,287.04,38,34,1.03,CN,1607394954
Øksfjord,70.24,22.35,273.15,92,100,3.6,NO,1607394954
Srednekolymsk,67.45,153.68,240.8,85,100,4.46,RU,1607394955
Rindal,63.06,9.21,282.15,49,93,8.7,NO,1607394955
Gravelbourg,49.88,-106.55,275.15,74,100,4.6,CA,1607394955
Ubari,26.59,12.78,281.34,51,0,1.9,LY,1607394955
Xining,36.62,101.77,269.44,77,82,1.25,CN,1607394955
Husavik,66.04,-17.34,270.15,68,0,5.2,IS,1607394955
Antsirabe,-19.85,47.03,289.67,89,70,1.59,MG,1607394955
Yei,4.09,30.68,294.18,76,66,1.51,SS,1607394955
La Ceiba,15.76,-86.78,296.15,94,90,1.0,HN,1607394955
Tallahassee,30.44,-84.28,282.15,59,1,6.7,US,1607394955
Praia da Vitória,38.73,-27.07,288.15,77,75,3.41,PT,1607394675
Goth Phulji,26.88,67.68,294.22,35,0,1.64,PK,1607394955
San Cristobal,7.77,-72.22,291.63,87,95,0.88,VE,1607394949
Kamloops,50.67,-120.32,276.48,86,90,7.2,CA,1607394956
Otradnoye,59.78,30.82,268.15,67,0,5.0,RU,1607394956
Kabanjahe,3.1,98.49,300.15,94,75,3.1,ID,1607394956
Sisimiut,66.94,-53.67,267.47,90,68,6.46,GL,1607394956
Baracoa,20.35,-74.5,296.8,81,89,2.76,CU,1607394956
Saint-Philippe,-21.36,55.77,297.15,69,75,1.0,RE,1607394956
Coyhaique,-45.58,-72.07,289.15,51,0,2.6,CL,1607394867
Alikalia,9.17,-11.4,293.55,97,9,0.52,SL,1607394956
Oak Ridge,36.01,-84.27,276.15,55,90,2.1,US,1607394956
Kungurtug,50.6,97.52,253.78,77,27,0.22,RU,1607394956
Peniche,39.36,-9.38,288.15,80,84,7.6,PT,1607394778
Saint Paul Harbor,57.79,-152.41,277.15,80,90,7.7,US,1607394956
São Filipe,14.9,-24.5,297.18,75,100,4.96,CV,1607394957
Dakar,14.69,-17.44,294.15,73,0,6.2,SN,1607394517
Port Augusta,-32.5,137.77,294.82,52,40,5.7,AU,1607394957
Barcelos,41.54,-8.62,284.15,93,75,5.1,PT,1607394926
Necochea,-38.55,-58.74,293.15,56,0,7.78,AR,1607394734
Sobolevo,54.43,31.9,265.81,90,0,4.72,RU,1607394957
Guozhen,34.37,107.36,275.43,75,13,2.68,CN,1607394957
Sorong,-0.88,131.25,302.11,77,65,2.28,ID,1607394957
Mount Isa,-20.73,139.5,307.15,12,92,5.1,AU,1607394957
Vestmannaeyjar,63.44,-20.27,277.66,87,100,11.04,IS,1607394957
Katsuura,35.13,140.3,288.71,51,20,5.7,JP,1607394957
Tilichiki,60.47,166.1,261.44,96,100,1.22,RU,1607394957
Vila Franca do Campo,37.72,-25.43,288.15,62,75,3.1,PT,1607394957
Hervey Bay,-25.3,152.85,303.15,71,74,1.34,AU,1607394958
Esmeraldas,-19.76,-44.31,295.15,94,75,1.0,BR,1607394958
Talāja,21.35,72.05,292.15,72,96,4.0,IN,1607394958
Oistins,13.07,-59.53,298.15,78,40,4.6,BB,1607394958
Cenade,46.06,24.01,275.15,86,90,5.7,RO,1607394958
Rabat,33.99,-6.84,287.15,100,75,2.6,MA,1607394921
Vila Velha,-20.33,-40.29,298.71,83,40,3.1,BR,1607394958
Rawson,-43.3,-65.1,298.77,36,41,8.65,AR,1607394958
Upornaya,44.39,41.02,271.05,92,0,4.97,RU,1607394958
Rach Gia,10.02,105.08,300.15,78,40,2.6,VN,1607394958
Tyrma,50.08,132.17,259.75,83,2,2.0,RU,1607394958
Laredo,27.51,-99.51,287.15,44,1,2.1,US,1607394958
Saint Anthony,45.02,-93.22,273.15,92,90,2.1,US,1607394958
Atambua,-9.11,124.89,302.24,63,93,2.34,ID,1607394958
Alamosa,37.47,-105.87,270.15,49,1,3.1,US,1607394959
Aklavik,68.22,-135.01,255.15,84,100,1.0,CA,1607394959
Muzhi,65.37,64.67,260.15,96,100,0.94,RU,1607394959
Leer,8.3,30.14,296.67,25,35,2.08,SS,1607394959
Butaritari,3.07,172.79,300.81,76,42,3.78,KI,1607394959
Clyde River,70.47,-68.59,260.15,92,90,2.6,CA,1607394959
Vao,-22.67,167.48,298.55,86,36,7.37,NC,1607394959
Igarka,67.47,86.58,247.81,87,100,8.56,RU,1607394959
Mackay,-21.15,149.2,303.15,70,75,5.7,AU,1607394839
Píllaro,-1.17,-78.53,284.15,81,75,4.6,EC,1607394959
Viranşehir,37.24,39.76,281.03,56,100,2.15,TR,1607394959
Porkhov,57.77,29.56,267.15,67,0,2.0,RU,1607394959
Nguruka,-5.11,31.04,290.41,95,0,0.06,TZ,1607394960
Deputatsky,69.3,139.9,239.09,84,6,1.81,RU,1607394960
Puerto Colombia,10.99,-74.95,300.15,88,75,4.6,CO,1607394960
Noumea,-22.28,166.46,306.48,49,75,4.1,NC,1607394678
Yumen,40.28,97.2,267.43,90,100,9.25,CN,1607394960
Geraldton,-28.77,114.6,312.15,17,0,8.2,AU,1607394960
Arrondissement de Morlaix,48.58,-4.0,279.15,70,75,5.7,FR,1607394960
Virginia Beach,36.85,-75.98,277.04,74,100,3.58,US,1607394848
Quatre Cocos,-20.21,57.76,299.26,88,20,2.1,MU,1607394960
Zhangjiakou,40.81,114.88,263.54,66,0,0.97,CN,1607394960
Nemuro,43.32,145.57,276.15,47,40,3.6,JP,1607394960
Den Helder,52.96,4.76,275.93,100,90,3.1,NL,1607394960
Olafsvik,64.89,-23.71,274.39,95,100,1.51,IS,1607394773
Tolú,9.52,-75.58,299.16,83,100,1.98,CO,1607394960
Newport,51.59,-3.0,275.37,96,96,2.58,GB,1607394960
São Gabriel da Cachoeira,-0.13,-67.09,296.36,97,100,0.84,BR,1607394961
Wagar,16.15,36.2,290.4,75,7,4.82,SD,1607394961
Beihai,21.48,109.1,289.86,59,0,7.62,CN,1607394961
Saint-Louis,16.33,-15.0,294.31,31,100,4.38,SN,1607394961
Panguna,-6.32,155.48,298.61,87,96,0.77,PG,1607394961
Chenghai,23.46,116.77,292.15,59,75,2.0,CN,1607394961
Amapá,1.0,-52.0,296.45,88,37,1.6,BR,1607394961
Kargil,34.57,76.1,269.6,94,100,2.15,IN,1607394961
Kailua,21.4,-157.74,299.26,69,40,5.1,US,1607394961
Aswān,24.09,32.91,290.69,36,0,0.74,EG,1607394961
Cauquenes,-35.97,-72.32,281.9,89,48,1.68,CL,1607394961
Road Town,18.42,-64.62,299.82,74,40,3.1,VG,1607394962
Hyères,43.12,6.12,282.15,70,0,4.6,FR,1607394962
Tautira,-17.73,-149.15,298.15,83,75,3.6,PF,1607394962
Maceió,-9.67,-35.74,295.15,94,20,1.5,BR,1607394962
Chaohu,31.6,117.87,279.15,81,90,3.0,CN,1607394962
Kupang,-10.17,123.58,302.15,74,75,3.6,ID,1607394962
Utete,-7.99,38.76,295.04,97,6,0.83,TZ,1607394962
Iqaluit,63.75,-68.51,264.15,78,90,4.6,CA,1607394962
Lashio,22.93,97.75,292.89,60,93,0.46,MM,1607394962
Sosnovoborsk,56.13,93.36,264.15,72,40,7.0,RU,1607394962
Roald,62.58,6.13,284.15,53,100,4.6,NO,1607394865
Kieta,-6.22,155.63,301.9,72,99,1.22,PG,1607394963
Yafran,32.06,12.53,279.31,62,0,5.83,LY,1607394963
Eresós,39.17,25.93,288.16,65,0,2.97,GR,1607394963
Jaen,38.0,-3.5,282.59,93,100,4.92,ES,1607394963
Los Llanos de Aridane,28.66,-17.92,291.15,72,40,4.1,ES,1607394676
Mandalgovi,45.76,106.27,253.0,83,0,4.7,MN,1607394963
Kozhva,65.11,57.05,273.81,98,100,1.89,RU,1607394963
Alice Springs,-23.7,133.88,304.26,16,0,5.7,AU,1607394963
Celestún,20.87,-90.4,294.89,70,32,5.78,MX,1607394963
Chui,-33.7,-53.46,288.92,88,46,2.8,UY,1607394674
Ixtapa,20.7,-105.2,297.15,83,40,2.1,MX,1607394921
Batagay-Alyta,67.8,130.41,238.57,83,82,0.55,RU,1607394963
Taltal,-25.4,-70.48,289.5,74,12,1.17,CL,1607394964
Socorro,31.65,-106.3,284.15,23,40,2.63,US,1607394889
Great Bend,38.36,-98.76,281.48,55,1,3.6,US,1607394729
Miles City,46.41,-105.84,279.15,35,1,3.1,US,1607394964
Havøysund,71.0,24.66,273.15,93,75,4.1,NO,1607394964
Marzuq,14.4,46.47,286.31,60,33,1.57,YE,1607394964
Scottsbluff,41.87,-103.67,273.15,51,1,2.6,US,1607394964
College,64.86,-147.8,257.15,77,75,3.6,US,1607394872
Sitka,57.05,-135.33,281.15,75,75,5.1,US,1607394964
Jalu,29.03,21.55,281.95,53,0,1.59,LY,1607394964
Porto-Novo,6.5,2.6,296.15,94,40,1.5,BJ,1607394964
Porto Santo,33.07,-16.34,289.15,93,75,5.1,PT,1607394964
Henties Bay,-22.12,14.28,289.26,88,14,1.67,NA,1607394964
Souillac,-20.52,57.52,296.15,88,20,2.1,MU,1607394964
Kāzerūn,29.62,51.65,282.58,64,25,0.71,IR,1607394964
Ondjiva,-17.07,15.73,293.88,28,23,2.04,AO,1607394964
Makueni Boma,-1.8,37.62,289.94,95,92,0.55,KE,1607394965
Kaeo,-35.1,173.78,297.13,62,2,5.1,NZ,1607394965
Dawson Creek,55.77,-120.24,279.15,48,1,9.8,CA,1607394965
Staryy Nadym,65.61,72.68,252.23,87,0,2.96,RU,1607394965
Umeå,63.83,20.26,275.15,93,90,2.1,SE,1607394820
Khammam,17.25,80.15,295.44,64,46,0.83,IN,1607394965
La Asuncion,11.03,-63.86,300.15,83,95,6.7,VE,1607394965
Kerrville,30.05,-99.14,281.48,52,1,0.61,US,1607394965
Yugorsk,61.31,63.33,266.97,97,49,2.47,RU,1607394965
Nyurba,63.28,118.33,240.95,85,0,0.98,RU,1607394965
Gladstone,-23.85,151.25,307.15,46,90,2.6,AU,1607394681
Khani,41.96,42.96,280.15,52,0,12.3,GE,1607394966
Buluang,13.31,123.34,304.7,61,91,2.42,PH,1607394966
Sokoto,13.06,5.24,296.73,20,0,4.43,NG,1607394966
Sur,22.57,59.53,297.41,76,0,6.58,OM,1607394966
Tuatapere,-46.13,167.68,289.82,68,0,9.39,NZ,1607394966
Krasnosel'kup,65.7,82.47,248.95,88,83,8.25,RU,1607394966
Gigmoto,13.78,124.39,302.44,77,99,4.41,PH,1607394966
San Quintín,30.48,-115.95,287.93,69,100,0.33,MX,1607394966
Ostrovnoy,68.05,39.51,273.57,95,100,3.48,RU,1607394966
Ķegums,56.75,24.72,270.15,63,0,5.7,LV,1607394966
Hāgere Selam,6.48,38.52,280.63,100,3,1.72,ET,1607394966
Jieshou,33.26,115.36,280.53,63,62,3.54,CN,1607394967
Angoche,-16.23,39.91,298.91,83,89,2.85,MZ,1607394967
Kodinsk,58.69,99.18,261.16,93,100,5.08,RU,1607394967
Port Lincoln,-34.73,135.87,289.81,53,28,4.49,AU,1607394967
Balyqshy,47.07,51.87,258.15,84,0,1.0,KZ,1607394967
Grand Gaube,-20.01,57.66,299.26,76,8,0.89,MU,1607394967
Qandala,11.47,49.87,297.04,64,3,1.19,SO,1607394967
Huarmey,-10.07,-78.15,292.84,84,100,3.17,PE,1607394967
Cidreira,-30.18,-50.21,293.88,89,50,6.39,BR,1607394967
Hudson Bay,52.85,-102.38,273.47,92,92,4.2,CA,1607394967
Tura,25.52,90.22,294.26,65,1,0.44,IN,1607394734
Batagay,67.63,134.63,234.61,76,46,0.55,RU,1607394967
Härnösand,62.63,17.94,277.15,80,100,3.6,SE,1607394967
La Sarre,48.8,-79.2,261.69,95,3,1.85,CA,1607394968
Makhinjauri,41.67,41.69,284.15,40,75,8.7,GE,1607394968
Rosarito,32.33,-117.03,295.15,13,75,7.7,MX,1607394968
Rudnogorsk,57.26,103.75,263.56,95,100,6.11,RU,1607394968
Puerto Escondido,15.85,-97.07,299.15,74,40,2.0,MX,1607394968
George Town,5.41,100.34,302.15,78,20,4.1,MY,1607394889
Ovalle,-30.6,-71.2,284.01,82,0,0.21,CL,1607394968
West Odessa,31.84,-102.5,286.15,22,1,1.5,US,1607394968
Kayseri Province,38.74,35.5,273.15,81,75,1.78,TR,1607394968
Grenville,12.12,-61.62,299.15,78,20,5.1,GD,1607394968
Sambava,-14.27,50.17,296.62,81,21,2.07,MG,1607394968
Touros,-5.2,-35.46,296.15,94,75,1.0,BR,1607394677
Richards Bay,-28.78,32.04,294.14,85,0,4.27,ZA,1607394968
Sola,-13.88,167.55,301.26,73,98,1.97,VU,1607394677
Bushenyi,-0.59,30.21,286.9,92,0,0.79,UG,1607394969
Inhambane,-23.86,35.38,296.66,74,98,5.5,MZ,1607394969
San Fernando del Valle de Catamarca,-28.47,-65.79,300.37,54,0,3.58,AR,1607394969
Lavrentiya,65.58,-171.0,264.03,91,0,4.25,RU,1607394969
Saint-Augustin,51.23,-58.65,273.46,95,100,4.91,CA,1607394969
Vilela,41.23,-7.6,280.93,92,60,0.89,PT,1607394969
Lagoa,39.05,-27.98,288.66,71,100,5.64,PT,1607394969
Burns Lake,54.23,-125.75,274.15,100,100,1.88,CA,1607394969
Korla,41.76,86.15,269.58,85,30,1.34,CN,1607394969
Kemisē,10.72,39.87,289.4,79,25,0.32,ET,1607394969
Keti Bandar,24.14,67.45,296.74,59,0,2.88,PK,1607394970
Adrar,20.5,-10.07,287.43,36,67,3.49,MR,1607394970
Nome,64.5,-165.41,263.15,43,40,3.86,US,1607394970
Illapel,-31.63,-71.17,285.11,74,0,0.59,CL,1607394970
Florence,43.77,11.25,283.15,81,75,4.6,IT,1607394970
